"spellID","Name","Description"
3714,"Path of Frost","Activates a freezing aura for 10 min that creates ice beneath your feet, allowing party or raid members within 50 yards to walk on water.  Usable while mounted, but being attacked or damaged will cancel the effect."
3716,"Consuming Shadows","Drains 734 health from all nearby enemies.



(Right-Click to toggle)"
3742,"Static Electricity","Surrounds you with electricity, dealing 18 Nature damage to any who strike you for 15 sec."
4971,"Healing Ward","Summons a ward that lasts 30 sec. and periodically heals allies in an area around it."
4987,"Cleanse","Cleanses a friendly target, removing all Poison, Disease and Magic effects."
5108,"Voidwalker","Summons 0 Voidwalkers to aid the caster in battle for until cancelled."
5110,"Summon Living Flame","Summons 1 Living Flame to aid the caster in battle for 4 min."
5171,"Slice and Dice","Finishing move that consumes combo points to increase attack speed by 90%. Lasts longer per combo point.

   1 point  : 12 seconds

   2 points: 18 seconds

   3 points: 24 seconds

   4 points: 30 seconds

   5 points: 36 seconds"
5176,"Solar Wrath","Causes 16,138 Nature damage to the target."
5185,"Healing Touch","Heals a friendly target for 29,343."
5221,"Shred","Shred the target, causing 225,209 Physical damage to the target. Deals 20% increased damage against bleeding targets.



While stealthed, Shred deals 20% increased damage, and has double the chance to critically strike.



Awards 1 combo point."
5276,"Freeze","Inflicts 840 Frost damage to an enemy every 3 sec., stunning it for 15 sec."
5308,"Execute","Attempt to finish off a wounded foe, causing 124,147 Physical damage. Only usable on enemies that have less than 20% health."
5394,"Healing Stream Totem","Summons a totem at your feet for 15 sec that heals an injured party or raid member within 40 yards for 5,135 every 1.9 sec."
5676,"Searing Pain","Inflict searing pain on the enemy target, causing 346 Fire damage.  Causes a high amount of threat."
5697,"Unending Breath","Allows an ally to breathe underwater and increases swim speed by 20% for 10 min."
5740,"Rain of Fire","Calls down a rain of hellfire, dealing 29,344 Fire damage over 7.7 sec to enemies in the area."
5759,"Cat Form","Shapeshifts into a cat for 4 min., increasing attack power and allowing the use of various cat abilities."
5782,"Fear","Strikes fear in the enemy, disorienting for 20 sec. Damage may cancel the effect. Limit 1."
5862,"Blessing of Aman","Holy power infuses the target increasing their Stamina by 6 for 30 min."
6201,"Create Healthstone","Creates a Healthstone that can be consumed to restore 431,075 health."
6358,"Seduction","Seduces the target, disorienting for 30 sec. Damage will break the effect. Only usable against Humanoids.



Auto-Cast:

Cast upon targets who attack, stun, silence or fear the master.



(Right-Click to toggle)"
6360,"Whiplash","Deals 3,374 Shadow damage and knocks back all enemies within 5 yards."
6487,"Ilkrud's Guardians","Summons 2 Voidwalkers to aid the caster in battle for 1 min."
6535,"Lightning Cloud","Creates a cloud of lightning that lasts 15 sec., blasting all enemies in a selected area for Nature damage every 5 sec."
6725,"Flame Spike","Calls down a pillar of flame, burning all enemies in a selected area for 7,937 Fire damage and an additional 957 damage every 3 sec. for 9 sec."
6726,"Silence","Silences an enemy, preventing it from casting spells for 5 sec."
6728,"Enveloping Winds","Surrounds an enemy with a cyclone for up to 4 sec. If the target takes any damage, it will break free of the imprisoning winds."
6742,"Bloodlust","Increases an ally's attack speed by 30% for 30 sec."
6770,"Sap","Incapacitates a target not in combat for 1 min. Only works on Humanoids, Beasts, Demons, and Dragonkin. Damage will revive the target. Limit 1."
6789,"Mortal Coil","Horrifies an enemy target into fleeing, incapacitating for 3 sec and healing you for 11% of maximum health."
6807,"Maul","Maul the target for 28,151 Physical damage."
6905,"Summon Illusionary Nightmare","Summons 1 Illusionary Nightmare to aid the caster in battle for 1 min."
6940,"Blessing of Sacrifice","Places a Blessing on a party or raid member, transferring 30% of damage taken to you for 12 sec, or until transferred damage would cause you to fall below 20% health."
6949,"Weak Frostbolt","Launches a bolt of ice at an enemy, inflicting Frost damage."
6950,"Faerie Fire","Reduces an enemy's armor for 15 sec. While affected, the target cannot use stealth or invisibility."
6960,"Lightning Barrier","Surrounds an ally with a shield of crackling electricity that lasts 3 min. and inflicts 69 Nature damage to melee attackers."
7101,"Flame Blast","Inflicts 7,953 Fire damage to an enemy."
7108,"Moist Towelette","Removes 1 negative spell effect from user.  Cleans with the power of lemon."
7121,"Anti-Magic Shield","Creates an anti-magic shell around the caster, giving it magic immunity for 6 sec."
7288,"Immolate Cumulative (TEST)","Burns the enemy for 737 damage and then an additional 2,834 damage over 20 sec."
7290,"Soul Siphon","Drains health over from an enemy and its nearest ally over 10 sec., healing the caster for up to twice the amount of health stolen."
7328,"Redemption","Brings a dead ally back to life with 35% of maximum health and mana. Cannot be cast when in combat."
7384,"Overpower","Overpowers the enemy, causing 78,197 Physical damage. Cannot be blocked, dodged or parried, and has a 60% increased chance to critically strike.



All your melee attacks have a chance to activate Overpower."
7588,"Void Bolt","Sends a bolt of dark magic at an enemy, inflicting 7,880 Shadow damage."
7621,"Arugal's Curse","Transforms an enemy into a Shadowfang Glutton, enslaving it to the caster's will for 10 sec."
7645,"Dominate Mind","Takes control of a humanoid enemy up to level 125 for 10 sec., but increases the time between its attacks by 100%."
7739,"Inferno Shell","Inflicts 7,793 Fire damage to nearby enemies, and encases the caster in a shield of flame that lasts 10 sec. and burns melee attackers for an additional 92 damage."
7803,"Thundershock","Inflicts 14,808 Nature damage to nearby enemies, stunning them for 4 sec."
7806,"Flameblade","Target's weapon bursts into flame, causing an additional 7 fire damage with each hit.  Lasts 3 min."
7812,"Sacrifice","Sacrifices a portion of the Voidwalker's health, giving its master a shield that will absorb 0 damage for 30 sec. While the shield holds, spellcasting will not be interrupted by damage."
7814,"Lash of Pain","Lashes the target for 6,653 Shadow damage.



(Right-Click to toggle)"
7855,"Summon Water Terror","Summons a Water Terror to accompany the caster until dismissed."
7870,"Lesser Invisibility","Makes the Succubus invisible for 5 min.  Not usable in combat. Any action will break the effect.



Auto-Cast:

Reapply when the Succubus leaves combat.



(Right-Click to toggle)"
7933,"Strong Anti-Venom","Target is cured of poisons up to level 35."
7948,"Wild Regeneration","Heals the caster for 339 damage every 2 sec. for 16 sec."
7960,"Scry on Azrethoc","Conjures 5 loaves of bread, providing the mage and his allies with something to eat."
8000,"Area Burn","Calls down a pillar of flame, burning all enemies in a selected area for 7,461 Fire damage and an additional 776 damage every 3 sec. for 10 sec."
8004,"Healing Surge","A quick but expensive surge of healing energy that restores 34,844 of a friendly target's health."
8040,"Druid's Slumber","Puts the enemy target to sleep for up to 6 sec. Any hostile action will awaken the target. Only one target can be slept at a time."
8042,"Earth Shock","Instantly shocks the target with concussive force, causing up to 58,685 Nature damage based on Maelstrom spent."
8122,"Psychic Scream","Lets out a psychic scream, causing 5 enemies within 8 yards to flee, disorienting them for 8 sec. Damage may interrupt the effect."
8140,"Befuddlement","Reduces an enemy's casting speed by 50% for 10 sec."
8190,"Magma Totem","Summons a Fire Totem with 29,382 health at the feet of the caster for 1 min that causes 748 Fire damage to creatures within 8 yards every 1.9 seconds."
8211,"Chain Burn","Hits an enemy with an anti-mana bolt that arcs to another nearby enemy. For each point of mana consumed by the bolt, the target takes 1.0 damage. The spell affects up to 3 targets."
8246,"Lightning Bolt","Blasts an enemy with lightning for 7,637 Nature damage."
8262,"Elemental Protection Totem","Summons an Elemental Protection Totem at the caster's feet. Totem lasts 30 sec. and increases nearby party members' resistance to harmful magic."
8264,"Lava Spout Totem","Summons a Lava Spout Totem at the caster's feet. Totem lasts 20 sec. and inflicts Fire damage to nearby enemies every 3 sec."
8272,"Mind Tremor","Reduces an enemy's casting speed by 20% for 15 sec."
8277,"Voodoo Hex","Physical damage caused by the target is reduced by 8 for 2 min."
8292,"Chain Bolt","Strikes an enemy with a lightning bolt that arcs to another nearby enemy. The spell affects up to 3 targets, causing 7,635 Nature damage to each."
8348,"Julie's Blessing","Heals wielder of ^3.2976 damage over 12 sec."
8361,"Purity","Makes the caster immune to all attacks and spells for 2 sec."
8364,"Blizzard","Calls down a blizzard that lasts 8 sec., inflicting Frost damage every 2 sec. to all enemies in a selected area."
8376,"Earthgrab Totem","Summons an Earthgrab Totem that lasts 30 sec. and periodically immobilizes nearby enemies."
8398,"Frostbolt Volley","Inflicts Frost damage to nearby enemies, reducing their movement speed by 50% for 4 sec."
8435,"Forked Lightning","Inflicts Nature damage to enemies in a cone in front of the caster."
8552,"Curse of Weakness","Damage caused by the target is reduced by ^0.4170 for 2 min."
8598,"Lightning Blast","Blasts an enemy with lightning for 7,519 Nature damage."
8676,"Ambush","Ambush the target, causing 93,837 Physical damage.



Awards 2 combo points."
8736,"Conjure Food","Conjures food to eat."
8788,"Lightning Shield","Surrounds an ally with 3 balls of lightning that have 50% chance of striking melee or ranged attackers for 7,508 damage. Each time the lightning shield strikes, a ball of lightning dissipates. Thus, the shield expires after 10 min. or after it has struck 3 times."
8809,"Slave Drain","Drains 916 health from the caster's pet, healing the caster for up to 150% of that amount."
8921,"Moonfire","A quick beam of lunar light burns the enemy for 7,337 Arcane damage and then an additional 33,511 Arcane damage over 16 sec. Usable while in Bear Form."
8936,"Regrowth","Heals a friendly target for 15,759 and another 4,166 over 12 sec. Regrowth's initial heal has a 60% increased chance for a critical effect."
9081,"Shadow Bolt Volley","Hurls missiles of dark magic, inflicting Shadow damage to nearby enemies."
9435,"Detonation","Fire erupts from Arcanist Doan, dealing Fire damage to all nearby enemies within 0 yds."
9438,"Arcane Bubble","Forms a protective bubble around the caster, making them immune to all attacks and spells for 8 sec, but unable to attack."
9456,"Tharnariun Cure 1","Cures 0 diseases on the target."
9481,"Holy Smite","Smites an enemy, inflicting Holy damage."
9484,"Shackle Undead","Shackles the target undead enemy for 50 sec, preventing all actions and movement. Damage will cancel the effect. Limit 1."
9552,"Searing Flames","Burns an enemy for 7,588 damage, then prevents it from spellcasting for 9 sec. and inflicts an additional 754 Fire damage every 3 sec."
9634,"ObsoleteDire Bear Form","Shapeshift into dire bear form, increasing melee attack power by 120, armor contribution from cloth and leather items by 370%, and Stamina by 25%.  Also protects the caster from Polymorph effects and allows the use of various bear abilities.



The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects."
9654,"Jumping Lightning","Hurls a lightning bolt that inflicts Nature damage to an enemy and its nearest ally."
9739,"Wrath","Causes Nature damage to the target."
9771,"Radiation Bolt","Inflicts Nature damage to an enemy, and has a chance of irradiating it."
10059,"Portal: Stormwind","Creates a portal, teleporting group members that use it to Stormwind."
11014,"Flow of the Northspring","Heals an ally for 50 damage every 3 sec. for 15 sec."
11017,"Summon Witherbark Felhunter","Summons 1 Witherbark Felhunter to aid the caster in battle for 4 min."
11021,"Flamespit","Inflicts Fire damage to an enemy."
11366,"Pyroblast","Hurls an immense fiery boulder that causes 29,344 Fire damage."
11412,"Nether Shell","The caster turns ethereal, becoming immune to physical but still vulnerable to magic.  In addition, the warlock cannot attack or cast spells and is slowed to 50% of normal movement speed.  Lasts 10 sec."
11416,"Portal: Ironforge","Creates a portal, teleporting group members that use it to Ironforge."
11417,"Portal: Orgrimmar","Creates a portal, teleporting group members that use it to Orgrimmar."
11418,"Portal: Undercity","Creates a portal, teleporting group members that use it to Undercity."
11419,"Portal: Darnassus","Creates a portal, teleporting group members that use it to Darnassus."
11420,"Portal: Thunder Bluff","Creates a portal, teleporting group members that use it to Thunder Bluff."
11426,"Ice Barrier","Shields you for 1 min, absorbing 60,060 damage. While the shield holds, spellcasting will not be interrupted by damage."
11433,"Death & Decay","Invokes the malignant power of death and decay, inflicting Shadow damage to all enemies in a selected area for 10 sec."
11443,"Cripple","Increases the time between an enemies attacks by 100% and slows its movement by 50%, in addition to reducing its Strength by 50%. Lasts 8 sec."
11445,"Bone Armor","Encases the caster in bone armor, absorbing 300 damage for 1 min. While the armor holds, spellcasting cannot be interrupted by Physical attacks."
11641,"Hex","Transforms an enemy into a frog, rendering it unable to attack or cast spells for 6 sec."
11649,"Detect Invisibility","Allows player to detect invisibility."
11895,"Healing Wave of Antu'sul","Heal your target for 12,645."
11981,"Mana Burn","Hits an enemy with an anti-mana bolt. For each point of mana consumed by the bolt, the target takes 1.0 damage."
11986,"Healing Wave","Calls upon Nature magic to heal an ally."
11988,"Fireball Volley","Inflicts Fire damage to nearby enemies."
12040,"Shadow Shield","Surrounds the caster with a shield woven of Shadow magic. The shield lasts 30 sec. and absorbs damage."
12042,"Arcane Power","For 10 sec, you deal 30% more spell damage and your spells cost 30% less mana."
12151,"Summon Atal'ai Skeleton","Summons 1 Atal'ai Skeleton to aid the caster in battle for 1 min."
12248,"Amplify Damage","Increases all forms of damage taken by an enemy by 30% for 6 sec."
12258,"Summon Shadowcaster","Summons a Skeletal Shadowcaster."
12292,"Bloodbath","For 8 sec, your melee attacks and abilities cause the target to bleed for 40% additional damage over 6 sec."
12294,"Mortal Strike","A vicious strike that deals 68,188 Physical damage and reduces the effectiveness of healing on the target for 10 sec."
12323,"Piercing Howl","Snares all enemies within 15 yards, reducing their movement speed by 50% for 15 sec."
12544,"Frost Armor","Encases the caster in a layer of frost that lasts 30 min. The thick ice increases armor, slows melee attackers' movement, and increases the time between their attacks."
12548,"Frost Shock","Inflicts Frost damage to an enemy and reduces its movement speed for 8 sec."
12685,"Fade","Reduces threat level on all enemies by a small amount for 10 sec."
13049,"Dragon's Call","Calls forth an Emerald Dragon Whelp to protect you in battle for a short period of time."
13326,"Arcane Intellect","Increases an ally's Intellect by 28 for 30 min."
13339,"Fire Blast","Inflicts Fire damage to an enemy."
13381,"Torch","Burns all enemies in a selected area and inflicts additional Fire damage every 2 sec. for 8 sec."
13491,"Pummel","Pummel the target for ^0.3493 damage and interrupt the spell being cast for 5 sec."
13744,"Blazing Emblem","Increases Fire resistance by ^2.0830 and reduces all Fire damage taken by up to ^1.0420 for 15 sec."
13748,"Arcane Bolt","Hurls a magical bolt at an enemy, inflicting Arcane damage."
13750,"Adrenaline Rush","Increases your Energy regeneration rate by 100% and your attack speed by 20% for 15 sec."
13787,"Demon Armor","Protects the caster, increasing armor, Shadow resistance and health regeneration for 30 min."
13860,"Mind Blast","Inflicts Shadow damage to an enemy."
13874,"Divine Shield","Protects the caster from all attacks and spells for 8 sec., but also increases the time between attacks by 100% during that time."
13877,"Blade Flurry","While active, your melee attacks also strike all nearby enemies for 35% of normal damage, but your Energy regeneration is reduced by 20%. Lasts until cancelled."
13902,"Fist of Ragnaros","Stuns an enemy, rendering it unable to move or attack for 4 sec."
13903,"Seal of Sacrifice","Places a seal on a party member, causing the caster to split 50% of all damage taken by that party member. Lasts 30 sec."
13952,"Holy Light","Calls upon Holy magic to heal an ally."
13953,"Holy Strike","Consecrates the caster's weapon, inflicting additional damage on its next attack. All damage inflicted is based on Holy magic."
14105,"Frost Blast","Blasts a target for 103 Frost damage."
14129,"Item - Purify","Cleanses a friendly target, removing 1 poison effect, 1 disease effect, and 1 magic effect."
14253,"Abolish Poison","Attempts to cure 1 poison effect on the target."
14517,"Crusader Strike","Inflicts 60% of normal weapon damage to an enemy and increases the Holy damage it takes by 55 per Crusader Strike. Can be applied up to 5 times. Lasts 15 sec."
14868,"Curse of Agony","Curses an enemy with agony, inflicting Shadow damage every 3 sec. over 15 sec."
14914,"Holy Fire","Consumes the enemy in Holy flames that cause 11,003 Holy damage and an additional 17,598 Holy damage over 7 sec. Stacks up to 2 times."
15038,"Scorching Totem","Summons a Scorching Totem at the caster's feet. Totem lasts 35 sec. and attacks a nearby enemy every 2 sec."
15039,"Flame Shock","Instantly burns an enemy, then inflicts additional Fire damage every 3 sec. for 12 sec."
15040,"Molten Blast","Burns an enemy, inflicting Fire damage."
15041,"Fire Ward","Surrounds the caster with a shield that lasts 1 min. and can absorb a fixed amount of Fire damage."
15044,"Frost Ward","Surrounds the caster with a shield that lasts 1 min. and can absorb a fixed amount of Frost damage."
15054,"Distract Test","Throws a distraction, attracting the attention of all nearby monsters for 10 seconds.  Does not break stealth."
15091,"Blast Wave","Unleashes a wave of flame, inflicting Fire damage to nearby enemies and reducing their movement speed for 6 sec."
15277,"Seal of Reckoning","Surrounds an ally with a seal that lasts 30 sec. Every time the sealed character strikes an enemy, the sealed character gains health."
15288,"Fury of Ragnaros","Increases the magical damage dealt by an ally by 25 for 30 min."
15653,"Acid Spit","Inflicts Nature damage to an enemy."
15729,"Remove Curse","Dispels 1 curse from an ally."
15735,"Arcane Missiles","Launches magical missiles at an enemy, inflicting Arcane damage each second for 5 sec."
15743,"Flamecrack","Inflicts 9,534 Fire damage to all enemies in a 0 yard area, knocking them back."
15786,"Earthbind Totem","Summons an Earthbind Totem that lasts 45 sec. and periodically reduces the movement speed of nearby enemies to 50% of normal."
15787,"Moonflare Totem","Summons a Moonflare Totem at the caster's feet. Totem lasts 5 sec. and inflicts Arcane damage to nearby enemies every 4 sec."
15867,"Flame Buffet Totem","Summons a Flame Buffet Totem at the caster's feet. Totem lasts for 35 sec. and attacks an enemy every 2 sec."
15869,"Superior Healing Ward","Summons a ward that lasts 30 sec. and periodically heals allies in an area around it."
15969,"Tormenting Lash","Lashes an enemy, inflicting 7,544 Shadow damage."
